ID,SIRE,DAM,SEXO,S
1,0,0,female,2
2,0,0,female,2
3,0,0,female,2
4,0,0,MALE,1
5,0,0,female,2
6,0,0,female,2
7,0,0,MALE,1
8,0,0,female,2
9,0,0,MALE,1
10,0,0,MALE,1
11,0,0,female,2
12,0,0,female,2
13,0,0,MALE,1
14,0,0,MALE,1
15,0,0,MALE,1
16,4,0,MALE,1
17,0,0,female,2
18,0,0,female,2
19,0,0,female,2
20,0,0,female,2
21,7,0,female,2
22,0,0,female,2
23,0,0,female,2
24,0,0,female,2
25,9,8,MALE,1
26,0,0,female,2
27,0,11,MALE,1
28,0,0,female,2
29,0,0,female,2
30,0,0,female,2
31,0,0,MALE,1
32,0,0,female,2
33,0,0,MALE,1
34,0,0,female,2
35,10,23,MALE,1
36,0,0,MALE,1
37,0,0,female,2
38,13,11,female,2
39,0,0,MALE,1
40,14,0,MALE,1
41,7,12,female,2
42,0,0,MALE,1
43,15,5,MALE,1
44,16,0,MALE,1
45,0,5,female,2
46,0,0,female,2
47,25,46,female,2
48,0,0,female,2
49,0,17,MALE,1
50,0,0,female,2
51,0,0,female,2
52,0,0,MALE,1
53,0,0,female,2
54,0,0,female,2
55,0,0,female,2
56,25,0,female,2
57,0,22,MALE,1
58,0,0,female,2
59,0,0,MALE,1
60,27,26,female,2
61,43,0,female,2
62,43,47,MALE,1
63,0,0,MALE,1
64,0,0,female,2
65,44,0,female,2
66,31,29,MALE,1
67,33,30,female,2
68,0,0,female,2
69,0,0,MALE,1
70,35,24,MALE,1
71,40,58,female,2
72,0,28,MALE,1
73,36,32,MALE,1
74,0,0,MALE,1
75,39,56,MALE,1
76,42,41,female,2
77,0,45,female,2
78,0,37,MALE,1
79,0,0,female,2
80,0,0,female,2
81,0,0,female,2
82,43,38,female,2
83,0,0,female,2
84,0,0,MALE,1
85,44,0,MALE,1
86,42,19,MALE,1
87,43,47,female,2
88,0,0,female,2
89,0,0,female,2
90,0,0,female,2
91,49,48,female,2
92,0,0,MALE,1
93,0,1,female,2
94,0,0,female,2
95,0,0,female,2
96,0,0,MALE,1
97,0,0,female,2
98,0,0,female,2
99,52,19,MALE,1
100,59,76,MALE,1
101,0,0,MALE,1
102,62,60,MALE,1
103,62,71,female,2
104,63,51,female,2
105,0,0,female,2
106,0,0,female,2
107,0,71,female,2
108,52,53,MALE,1
109,102,87,female,2
110,66,60,MALE,1
111,57,54,female,2
112,0,0,MALE,1
113,69,21,MALE,1
114,86,55,female,2
115,70,61,MALE,1
116,86,90,female,2
117,96,18,female,2
118,72,65,MALE,1
119,74,68,MALE,1
120,0,0,female,2
121,73,67,female,2
122,86,80,female,2
123,59,41,female,2
124,0,1,female,2
125,85,87,female,2
126,72,64,female,2
127,0,0,MALE,1
128,0,0,female,2
129,59,76,female,2
130,0,93,female,2
131,113,55,MALE,1
132,75,88,MALE,1
133,62,47,MALE,1
134,62,38,MALE,1
135,100,2,MALE,1
136,100,55,female,2
137,0,93,MALE,1
138,100,55,MALE,1
139,99,123,MALE,1
140,85,47,female,2
141,115,103,female,2
142,100,1,female,2
143,0,0,female,2
144,0,0,female,2
145,0,0,female,2
146,102,91,female,2
147,115,82,MALE,1
148,0,0,MALE,1
149,100,88,MALE,1
150,102,71,MALE,1
151,75,116,MALE,1
152,100,93,MALE,1
153,96,94,female,2
